WhiteElo,BlackElo,Result,Moves,OpeningName
2002,2065,1-0,"['e3', 'e5', 'b3', 'd5', 'Bb2', 'f6', 'f4', 'Bd6', 'fxe5', 'fxe5']",Van't Kruijs Opening
1922,1925,0-1,"['e3', 'c5', 'f4', 'd5', 'Nf3', 'Nc6', 'd4', 'Nf6', 'Nc3', 'Bg4']",Van't Kruijs Opening
2098,2217,0-1,"['e3', 'e6', 'Be2', 'd5', 'Nf3', 'Nc6', 'O-O', 'Be7', 'Ne1', 'g5']",Van't Kruijs Opening
1953,1994,1-0,"['e3', 'Nc6', 'g4', 'd6', 'g5', 'Bd7', 'h4', 'e6', 'b3', 'Be7']",Van't Kruijs Opening
2338,2445,1-0,"['e3', 'c5', 'b3', 'd5', 'Bb2', 'Nc6', 'f4', 'a6', 'Nf3', 'f6']",Van't Kruijs Opening
1847,1835,1/2-1/2,"['e3', 'Nf6', 'e4', 'Nxe4', 'f3', 'Nf6', 'f4', 'g6', 'g3', 'Bg7']",Van't Kruijs Opening
1948,1996,1-0,"['e3', 'e5', 'b3', 'f5', 'Bb2', 'Nf6', 'Bxe5', 'Nc6', 'Bb2', 'd5']",Van't Kruijs Opening
2175,2164,1-0,"['e3', 'g6', 'd4', 'Bg7', 'c4', 'e6', 'b3', 'Ne7', 'Bb2', 'd6']",Van't Kruijs Opening
1888,1834,1-0,"['e3', 'e5', 'd3', 'd5', 'Nd2', 'Nf6', 'Ne2', 'c5', 'h3', 'Bd6']",Van't Kruijs Opening
1856,1920,0-1,"['e3', 'e5', 'd4', 'e4', 'c4', 'f5', 'Nd2', 'd5', 'a3', 'Nf6']",Van't Kruijs Opening
2180,2034,1-0,"['e3', 'e5', 'f4', 'exf4', 'exf4', 'Nf6', 'Nf3', 'd5', 'd4', 'c5']",Van't Kruijs Opening
1895,1872,0-1,"['e3', 'e6', 'b3', 'd5', 'Bb2', 'c5', 'Qf3', 'Nf6', 'Bb5+', 'Bd7']",Van't Kruijs Opening
2451,2256,1-0,"['e3', 'e6', 'Nc3', 'd5', 'e4', 'Nf6', 'exd5', 'exd5', 'Nf3', 'c6']",Van't Kruijs Opening
1838,1892,1-0,"['e3', 'c5', 'Nf3', 'Nc6', 'Bb5', 'Nf6', 'O-O', 'e6', 'Bxc6', 'bxc6']",Van't Kruijs Opening
2106,2106,1-0,"['e3', 'd5', 'a3', 'Bf5', 'b3', 'Nf6', 'Bb2', 'Nbd7', 'Bb5', 'c6']",Van't Kruijs Opening
1850,1839,1-0,"['e3', 'd5', 'd4', 'c5', 'c4', 'cxd4', 'exd4', 'e6', 'cxd5', 'exd5']",Van't Kruijs Opening
2137,2080,1-0,"['e3', 'd6', 'd4', 'Nd7', 'f4', 'e6', 'Nf3', 'Ngf6', 'c3', 'Be7']",Van't Kruijs Opening
2082,2034,0-1,"['e3', 'e5', 'Be2', 'd5', 'h3', 'c5', 'd3', 'Nc6', 'Nf3', 'f5']",Van't Kruijs Opening
2438,2450,1-0,"['e3', 'd5', 'd4', 'c5', 'Bd3', 'c4', 'Be2', 'Nc6', 'c3', 'Nf6']",Van't Kruijs Opening
1960,1963,1-0,"['e3', 'd5', 'Ne2', 'Nf6', 'g3', 'e5', 'Bg2', 'Nc6', 'O-O', 'Bd6']",Van't Kruijs Opening
2172,2060,0-1,"['e3', 'e5', 'd4', 'e4', 'c4', 'Nf6', 'Nc3', 'c6', 'Qc2', 'd5']",Van't Kruijs Opening
1972,1972,0-1,"['e3', 'f6', 'd4', 'g6', 'c4', 'Nh6', 'c5', 'Bg7', 'b4', 'O-O']",Van't Kruijs Opening
2091,2304,0-1,"['e3', 'a6', 'Be2', 'c6', 'Nf3', 'd5', 'O-O', 'e6', 'Ne1', 'f5']",Van't Kruijs Opening
2345,2351,1-0,"['e3', 'e5', 'b3', 'd6', 'Bb2', 'Be6', 'Nc3', 'f6', 'Qe2', 'Nd7']",Van't Kruijs Opening
