WhiteElo,BlackElo,Result,Moves,OpeningName
2366,2383,1/2-1/2,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd2', 'g6', 'Nc3', 'Bg7']",Benoni Defense: Old Benoni
1931,1862,1-0,"['d4', 'c5', 'd5', 'd6', 'e4', 'Nf6', 'c3', 'Nxe4', 'Qa4+', 'Bd7']",Benoni Defense: Old Benoni
2057,2136,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Nc3', 'Nc6', 'Nd5', 'Nf6', 'Nxf6+', 'exf6']",Benoni Defense: Old Benoni
2276,2238,1-0,"['d4', 'c5', 'c3', 'cxd4', 'cxd4', 'd5', 'Nc3', 'Nf6', 'Nf3', 'Nc6']",Benoni Defense: Old Benoni
1897,1877,0-1,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nf3', 'd6', 'e3', 'e5']",Benoni Defense: Old Benoni
2694,2628,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'e5', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
2253,2184,1/2-1/2,"['d4', 'c5', 'c4', 'cxd4', 'Nf3', 'Nc6', 'Nxd4', 'e5', 'Nb5', 'Nf6']",Benoni Defense: Old Benoni
2350,2352,0-1,"['d4', 'c5', 'c3', 'cxd4', 'cxd4', 'Nc6', 'e3', 'd5', 'Nc3', 'Nf6']",Benoni Defense: Old Benoni
2391,2457,0-1,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'Nf3', 'g6']",Benoni Defense: Old Benoni
1943,2235,0-1,"['d4', 'c5', 'd5', 'e6', 'c4', 'Nf6', 'Bg5', 'exd5', 'cxd5', 'd6']",Benoni Defense: Old Benoni
2377,2405,0-1,"['d4', 'c5', 'Bf4', 'cxd4', 'Bxb8', 'Nf6', 'Be5', 'Qa5+', 'Qd2', 'Qxe5']",Benoni Defense: Old Benoni
1907,1902,1-0,"['d4', 'c5', 'e3', 'cxd4', 'exd4', 'Nf6', 'f4', 'd5', 'Nf3', 'Bg4']",Benoni Defense: Old Benoni
2022,1990,0-1,"['d4', 'c5', 'e4', 'cxd4', 'Nf3', 'Nc6', 'Nxd4', 'd6', 'Nc3', 'g6']",Benoni Defense: Old Benoni
2341,2322,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'Nc3', 'g6']",Benoni Defense: Old Benoni
2201,2215,1-0,"['d4', 'c5', 'c4', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'Nc3', 'g6']",Benoni Defense: Old Benoni
2202,2274,1-0,"['d4', 'c5', 'd5', 'e5', 'c4', 'f5', 'Nc3', 'Nf6', 'e4', 'd6']",Benoni Defense: Old Benoni
2009,2023,1-0,"['d4', 'c5', 'Nf3', 'cxd4', 'Nxd4', 'Nc6', 'Nf3', 'd6', 'e3', 'g6']",Benoni Defense: Old Benoni
