WhiteElo,BlackElo,Result,Moves,OpeningName
2481,2410,0-1,"['d4', 'Nf6', 'Nd2', 'd5', 'e3', 'g6', 'Ngf3', 'Bg7', 'b3', 'O-O']",Indian Defense
2127,1925,1-0,"['d4', 'Nf6', 'Nd2', 'g6', 'e3', 'Bg7', 'b3', 'O-O', 'Bb2', 'e6']",Indian Defense
1914,2136,1-0,"['d4', 'Nf6', 'c3', 'c5', 'Bf4', 'cxd4', 'Bg3', 'd5', 'cxd4', 'Qa5+']",Indian Defense
2173,2182,1-0,"['d4', 'Nf6', 'c3', 'g6', 'f3', 'Bg7', 'e4', 'd6', 'Be3', 'c5']",Indian Defense
2369,2285,1-0,"['d4', 'Nf6', 'c3', 'g6', 'Nf3', 'Bg7', 'Bg5', 'O-O', 'Nbd2', 'h6']",Indian Defense
2137,2002,1-0,"['d4', 'Nf6', 'Nd2', 'd5', 'Ngf3', 'Bf5', 'e3', 'e6', 'Be2', 'c6']",Indian Defense
2053,1907,1/2-1/2,"['d4', 'Nf6', 'e3', 'd5', 'Bd3', 'g6', 'f4', 'Bg7', 'Nf3', 'Ne4']",Indian Defense
2133,2240,0-1,"['d4', 'Nf6', 'e3', 'd5', 'c3', 'c5', 'f4', 'Nc6', 'Nf3', 'Bf5']",Indian Defense
2182,2230,1-0,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'd5', 'Nd2', 'Be7', 'h3', 'O-O']",Indian Defense
1905,1989,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'Nc3', 'Bg7', 'e4', 'd6', 'Qd2', 'a6']",Indian Defense
1839,1824,0-1,"['d4', 'Nf6', 'Bf4', 'g6', 'Nf3', 'h5', 'g3', 'Bh6', 'Bxh6', 'Rxh6']",Indian Defense
2174,2177,1-0,"['d4', 'Nf6', 'Nc3', 'c6', 'Nf3', 'd6', 'Bg5', 'Nbd7', 'Qd2', 'Qc7']",Indian Defense
1951,2012,0-1,"['d4', 'Nf6', 'Bf4', 'e6', 'e3', 'Be7', 'c3', 'O-O', 'Nf3', 'Nc6']",Indian Defense
